ds,yhat,yhat_lower,yhat_upper
2020-07-02,1790.7738547241124,1733.6603982136176,1856.0905986296652
2020-07-06,1796.1888461403455,1737.4992403552706,1858.3113266852743
2020-07-07,1801.1017171435983,1738.3128280314427,1861.8918010183284
2020-07-08,1804.370800782821,1742.196065283917,1869.6655003215142
2020-07-09,1806.6582824343834,1745.474238885937,1874.5708547373267
2020-07-10,1809.3203384467806,1741.4022233852231,1870.9445366078844
2020-07-13,1815.751358707046,1755.2708572509587,1880.7260923748452
2020-07-14,1821.5253052681544,1760.2796985640632,1885.5746642826186
2020-07-15,1825.8781232247795,1757.476952889649,1891.0857470109431
2020-07-16,1829.3146500814385,1769.715840466223,1892.277720162859
2020-07-17,1831.8062121999908,1768.0497714312796,1889.9438379680296
2020-07-20,1839.7586461437745,1773.331834651333,1908.092847691365
2020-07-21,1846.212642274078,1779.5178493081125,1910.0673627501974
2020-07-22,1849.8791069741533,1789.9419469941452,1912.6699334234543
2020-07-23,1852.893399977952,1791.1970283392184,1919.0474028247138
2020-07-24,1855.3333023983757,1793.5074163675372,1921.5131378974306
2020-07-27,1861.7026124479505,1796.9147809576561,1927.8128571486495
2020-07-28,1866.3614158622968,1803.4874375069373,1929.4334749180787
2020-07-29,1869.4212390805487,1804.353571334593,1932.4339139363974
2020-07-30,1871.2032032458135,1806.6642891775668,1936.7721027508046
2020-07-31,1872.7455370788873,1814.5506769792833,1938.4093483036952
2020-08-03,1876.0845505557772,1814.5252276374863,1940.9382296144777
2020-08-04,1880.393279654523,1823.136874775523,1942.4700636651537
2020-08-05,1882.4658938083508,1816.2977779420319,1943.5961665979303
2020-08-06,1883.8401289441567,1823.3906971533934,1948.6513566772562
2020-08-07,1883.6026632906173,1820.8105666752758,1948.444325016623
2020-08-10,1884.2015930990303,1820.6170892634743,1945.0614002089537
2020-08-11,1887.1714620110129,1820.1819449577063,1948.8657384027247
2020-08-12,1889.0795443582597,1824.4791415538716,1954.7930828123924
